Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
7,GPT 3.5 Turbo,Whisper,0.19889502762430938,0.12949640287769784,0.42857142857142855,0.0111731843575419,0.007246376811594203,0.024390243902439025,0.14364640883977903,0.09352517985611511,0.30952380952380953,-0.15388259291648865,0.08708234131336212,-0.034672029316425323,149,40
7,GPT 3.5 Turbo,Speechmatics,0.19393939393939394,0.13008130081300814,0.38095238095238093,0.0,0.0,0.0,0.14545454545454548,0.0975609756097561,0.2857142857142857,-0.1338161826133728,0.03470955789089203,-0.04929540678858757,131,40
7,GPT 3.5 Turbo,Google,0.15686274509803919,0.09876543209876543,0.38095238095238093,0.0,0.0,0.0,0.09803921568627451,0.06172839506172839,0.23809523809523808,-0.1665920913219452,0.0770818442106247,-0.04608234018087387,171,40
7,GPT 3.5 Turbo,Kaldi_NL,0.17061611374407581,0.10650887573964497,0.42857142857142855,0.0,0.0,0.0,0.11374407582938388,0.07100591715976332,0.2857142857142857,-0.22125974297523499,0.0018071777885779738,-0.11049202084541321,180,40
7,Gemini 1.5 pro,Whisper,0.19166666666666668,0.11616161616161616,0.5476190476190477,0.01680672268907563,0.01015228426395939,0.04878048780487805,0.11666666666666665,0.0707070707070707,0.3333333333333333,-0.2477046102285385,0.1075948178768158,-0.07478451728820801,209,40
7,Gemini 1.5 pro,Speechmatics,0.2,0.12359550561797752,0.5238095238095238,0.01834862385321101,0.011299435028248588,0.04878048780487805,0.12727272727272726,0.07865168539325842,0.3333333333333333,-0.23043882846832275,0.16422785818576813,-0.03934895247220993,185,40
7,Gemini 1.5 pro,Google,0.21719457013574664,0.1340782122905028,0.5714285714285714,0.018264840182648404,0.011235955056179775,0.04878048780487805,0.12669683257918554,0.0782122905027933,0.3333333333333333,-0.23117180168628693,0.1268441379070282,-0.0569978691637516,188,40
7,Gemini 1.5 pro,Kaldi_NL,0.23076923076923075,0.15,0.5,0.02222222222222222,0.014388489208633094,0.04878048780487805,0.17582417582417584,0.11428571428571428,0.38095238095238093,-0.16503629088401794,0.1575445830821991,-0.00737402169033885,152,40
8,GPT 3.5 Turbo,Whisper,0.2076502732240437,0.13380281690140844,0.4634146341463415,0.022099447513812154,0.014184397163120567,0.05,0.14207650273224046,0.09154929577464789,0.3170731707317073,-0.1507897675037384,0.07254568487405777,-0.03997122496366501,152,39
8,GPT 3.5 Turbo,Speechmatics,0.1702127659574468,0.10309278350515463,0.4878048780487805,0.034334763948497854,0.02072538860103627,0.1,0.11914893617021274,0.07216494845360824,0.34146341463414637,-0.22542621195316315,0.09220179170370102,-0.07004402577877045,207,39
8,GPT 3.5 Turbo,Google,0.15584415584415584,0.09473684210526316,0.43902439024390244,0.017467248908296942,0.010582010582010581,0.05,0.10389610389610388,0.06315789473684211,0.2926829268292683,-0.23849263787269592,0.02650562860071659,-0.10781963914632797,202,39
8,GPT 3.5 Turbo,Kaldi_NL,0.15111111111111108,0.09239130434782608,0.4146341463414634,0.017937219730941704,0.01092896174863388,0.05,0.09777777777777778,0.059782608695652176,0.2682926829268293,-0.26438388228416443,0.019632410258054733,-0.12472867965698242,196,39
8,Gemini 1.5 pro,Whisper,0.13793103448275862,0.08032128514056225,0.4878048780487805,0.013888888888888888,0.008064516129032258,0.05,0.11034482758620688,0.0642570281124498,0.3902439024390244,-0.28073909878730774,0.014917263761162758,-0.1356060653924942,262,39
8,Gemini 1.5 pro,Speechmatics,0.16379310344827586,0.09947643979057591,0.4634146341463415,0.017391304347826087,0.010526315789473684,0.05,0.10344827586206895,0.06282722513089005,0.2926829268292683,-0.24885854125022888,0.0678800567984581,-0.09387857466936111,203,39
